车架号,厂家代码,公司代码,调拨日期,位置,详细位置,发动机号,颜色,车型,配置,价格,出厂日期,入库日期,来源,点款,加装,GMAC,其他记录,绑定订单,
LSGZG53LXKS084605,SGM7206EBA1,7206RL19,2019/8/30 16:33,库房,3号库,192100100,闪电白,迈锐宝XL,全新迈锐宝XL 550T 锐联版(B-SRF)(redline) 19,204900,2019/8/1 0:00,2019/8/30 16:33,厂家到车,TRUE,,,,,
LSGZG53L2KS084789,SGM7206EBA1,7206RL19,2019/8/30 16:34,库房,3号库,192100103,闪电白,迈锐宝XL,全新迈锐宝XL 550T 锐联版(B-SRF)(redline) 19,204900,2019/8/1 0:00,2019/8/30 16:34,厂家到车,TRUE,,,,,
LSGZG53L6KS084553,SGM7206EBA1,7206RL19,2019/9/2 16:29,库房,3号库,192100088,闪电白,迈锐宝XL,全新迈锐宝XL 550T 锐联版(B-SRF)(redline) 19,204900,2019/8/1 0:00,2019/9/2 16:29,厂家到车,TRUE,,,,,
LSGZG53L6KS084780,SGM7206EBA1,7206RL19,2019/8/30 16:34,库房,3号库,192100238,闪电白,迈锐宝XL,全新迈锐宝XL 550T 锐联版(B-SRF)(redline) 19,204900,2019/8/2 0:00,2019/8/30 16:34,厂家到车,TRUE,,,,,
LSGXC835XKV368739,SGM6479DBA1,6479CJ6195,2019/11/21 11:04,库房,3号库,191613368,风尚红,探界者,探界者 535T 驰界版(Black)(SRF)(leather)(GB6) 19.5,189900,2019/6/15 0:00,2019/7/2 16:15,厂家到车,TRUE,,,,,
LSGXC8354KV417126,SGM6479DBA1,6479CJ6195,2019/10/18 13:14,库房,3号库,192583118,闪电白,探界者,探界者 535T 驰界版(Black)(SRF)(leather)(GB6) 19.5,189900,2019/9/17 0:00,2019/10/18 13:14,厂家到车,TRUE,,,,,
LSGXC8355KV421265,SGM6479DBA1,6479CJ6195,2019/11/14 16:51,库房,3号库,192693346,闪电白,探界者,探界者 535T 驰界版(Black)(SRF)(leather)(GB6) 19.5,189900,2019/9/30 0:00,2019/11/14 16:51,厂家到车,FALSE,,,,,
LSGXC8355KV421346,SGM6479DBA1,6479CJ6195,2019/11/14 16:48,库房,3号库,192683363,闪电白,探界者,探界者 535T 驰界版(Black)(SRF)(leather)(GB6) 19.5,189900,2019/9/30 0:00,2019/11/14 16:48,厂家到车,FALSE,,,,,
LSGXC8355KV406961,SGM6479DBA1,6479CJ6195,2019/12/16 15:55,库房,3号库,192103093,玄铁灰,探界者,探界者 535T 驰界版(Black)(SRF)(leather)(GB6) 19.5,189900,2019/8/5 0:00,2019/8/20 16:42,厂家到车,TRUE,,,,,
LSGXC835XKV406910,SGM6479DBA1,6479CJ6195,2019/8/23 8:50,库房,3号库,192093697,玄铁灰,探界者,探界者 535T 驰界版(Black)(SRF)(leather)(GB6) 19.5,189900,2019/8/5 0:00,2019/8/23 8:50,厂家到车,TRUE,,,,,
